ID,labels
Tu_OLI_01,not offensive
Tu_OLI_02,not offensive
Tu_OLI_03,offensive untargeted
Tu_OLI_04,not offensive
Tu_OLI_05,not offensive
Tu_OLI_06,not offensive
Tu_OLI_07,offensive targeted
Tu_OLI_08,offensive untargeted
Tu_OLI_09,not offensive
Tu_OLI_10,not offensive
Tu_OLI_11,not offensive
Tu_OLI_12,not offensive
Tu_OLI_13,offensive untargeted
Tu_OLI_14,not offensive
Tu_OLI_15,offensive targeted
Tu_OLI_16,not offensive
Tu_OLI_17,offensive untargeted
Tu_OLI_18,not offensive
Tu_OLI_19,not offensive
Tu_OLI_20,not offensive
Tu_OLI_21,not offensive
Tu_OLI_22,not offensive
Tu_OLI_23,offensive targeted
Tu_OLI_24,not offensive
Tu_OLI_25,offensive untargeted
Tu_OLI_26,not offensive
Tu_OLI_27,not offensive
Tu_OLI_28,offensive targeted
Tu_OLI_29,not offensive
Tu_OLI_30,not offensive
Tu_OLI_31,not offensive
Tu_OLI_32,not offensive
Tu_OLI_33,not offensive
Tu_OLI_34,not offensive
Tu_OLI_35,not offensive
Tu_OLI_36,not offensive
Tu_OLI_37,not offensive
Tu_OLI_38,offensive targeted
Tu_OLI_39,offensive untargeted
Tu_OLI_40,offensive untargeted
Tu_OLI_41,not offensive
Tu_OLI_42,offensive untargeted
Tu_OLI_43,offensive untargeted
Tu_OLI_44,not offensive
Tu_OLI_45,not offensive
Tu_OLI_46,offensive targeted
Tu_OLI_47,offensive targeted
Tu_OLI_48,offensive targeted
Tu_OLI_49,not offensive
Tu_OLI_50,offensive untargeted
Tu_OLI_51,not offensive
Tu_OLI_52,not offensive
Tu_OLI_53,not offensive
Tu_OLI_54,offensive untargeted
Tu_OLI_55,not offensive
Tu_OLI_56,not offensive
Tu_OLI_57,not offensive
Tu_OLI_58,not offensive
Tu_OLI_59,not offensive
Tu_OLI_60,not offensive
Tu_OLI_61,offensive untargeted
Tu_OLI_62,not offensive
Tu_OLI_63,offensive targeted
Tu_OLI_64,not offensive
Tu_OLI_65,offensive untargeted
Tu_OLI_66,offensive untargeted
Tu_OLI_67,not offensive
Tu_OLI_68,offensive untargeted
Tu_OLI_69,offensive targeted
Tu_OLI_70,not offensive
Tu_OLI_71,not offensive
Tu_OLI_72,not offensive
Tu_OLI_73,not offensive
Tu_OLI_74,not offensive
Tu_OLI_75,not offensive
Tu_OLI_76,not offensive
Tu_OLI_77,not offensive
Tu_OLI_78,not offensive
Tu_OLI_79,offensive targeted
Tu_OLI_80,not offensive
Tu_OLI_81,not offensive
Tu_OLI_82,not offensive
Tu_OLI_83,not offensive
Tu_OLI_84,not offensive
Tu_OLI_85,offensive untargeted
Tu_OLI_86,not offensive
Tu_OLI_87,not offensive
Tu_OLI_88,not offensive
Tu_OLI_89,not offensive
Tu_OLI_90,offensive targeted
Tu_OLI_91,not offensive
Tu_OLI_92,not offensive
Tu_OLI_93,not offensive
Tu_OLI_94,not offensive
Tu_OLI_95,not offensive
Tu_OLI_96,not offensive
Tu_OLI_97,not offensive
Tu_OLI_98,not offensive
Tu_OLI_99,not offensive
Tu_OLI_100,not offensive
Tu_OLI_101,not offensive
Tu_OLI_102,not offensive
Tu_OLI_103,not offensive
