ID,labels
ML_OLI_01,Not_offensive
ML_OLI_02,Not_offensive
ML_OLI_03,Not_offensive
ML_OLI_04,Not_offensive
ML_OLI_05,Not_offensive
ML_OLI_06,Not_offensive
ML_OLI_07,Not_offensive
ML_OLI_08,Not_offensive
ML_OLI_09,Not_offensive
ML_OLI_10,Not_offensive
ML_OLI_11,Not_offensive
ML_OLI_12,not-malayalam
ML_OLI_13,Not_offensive
ML_OLI_14,Not_offensive
ML_OLI_15,Not_offensive
ML_OLI_16,Not_offensive
ML_OLI_17,Not_offensive
ML_OLI_18,Not_offensive
ML_OLI_19,Not_offensive
ML_OLI_20,Not_offensive
ML_OLI_21,Not_offensive
ML_OLI_22,Not_offensive
ML_OLI_23,Not_offensive
ML_OLI_24,Not_offensive
ML_OLI_25,Not_offensive
ML_OLI_26,not-malayalam
ML_OLI_27,not-malayalam
ML_OLI_28,Not_offensive
ML_OLI_29,Not_offensive
ML_OLI_30,Not_offensive
ML_OLI_31,Not_offensive
ML_OLI_32,Not_offensive
ML_OLI_33,Not_offensive
ML_OLI_34,Not_offensive
ML_OLI_35,Not_offensive
ML_OLI_36,Not_offensive
ML_OLI_37,Not_offensive
ML_OLI_38,Not_offensive
ML_OLI_39,Not_offensive
ML_OLI_40,Not_offensive
ML_OLI_41,Not_offensive
ML_OLI_42,Not_offensive
ML_OLI_43,Not_offensive
ML_OLI_44,Not_offensive
ML_OLI_45,Not_offensive
ML_OLI_46,Not_offensive
ML_OLI_47,Not_offensive
ML_OLI_48,Not_offensive
ML_OLI_49,Not_offensive
ML_OLI_50,Not_offensive
ML_OLI_51,Not_offensive
ML_OLI_52,Not_offensive
ML_OLI_53,Not_offensive
ML_OLI_54,Not_offensive
ML_OLI_55,Not_offensive
ML_OLI_56,Not_offensive
ML_OLI_57,Not_offensive
ML_OLI_58,Not_offensive
ML_OLI_59,Not_offensive
ML_OLI_60,Not_offensive
ML_OLI_61,Not_offensive
ML_OLI_62,Not_offensive
ML_OLI_63,Not_offensive
ML_OLI_64,Not_offensive
ML_OLI_65,Not_offensive
ML_OLI_66,Not_offensive
ML_OLI_67,not-malayalam
ML_OLI_68,Not_offensive
ML_OLI_69,Not_offensive
ML_OLI_70,Not_offensive
ML_OLI_71,Not_offensive
ML_OLI_72,Not_offensive
ML_OLI_73,Not_offensive
ML_OLI_74,Not_offensive
ML_OLI_75,Not_offensive
ML_OLI_76,Not_offensive
ML_OLI_77,Not_offensive
ML_OLI_78,Not_offensive
ML_OLI_79,Not_offensive
ML_OLI_80,not-malayalam
ML_OLI_81,Not_offensive
ML_OLI_82,Not_offensive
ML_OLI_83,Not_offensive
ML_OLI_84,Not_offensive
ML_OLI_85,Not_offensive
ML_OLI_86,Not_offensive
ML_OLI_87,Not_offensive
ML_OLI_88,Not_offensive
ML_OLI_89,Not_offensive
ML_OLI_90,Not_offensive
ML_OLI_91,Not_offensive
ML_OLI_92,Not_offensive
ML_OLI_93,not-malayalam
ML_OLI_94,Not_offensive
ML_OLI_95,Not_offensive
ML_OLI_96,Not_offensive
ML_OLI_97,Not_offensive
ML_OLI_98,Not_offensive
ML_OLI_99,not-malayalam
ML_OLI_100,Not_offensive
ML_OLI_101,Not_offensive
ML_OLI_102,Offensive_Targeted_Insult_Group
ML_OLI_103,Not_offensive
ML_OLI_104,Not_offensive
ML_OLI_105,Not_offensive
ML_OLI_106,Not_offensive
ML_OLI_107,Offensive_Untargetede
ML_OLI_108,Not_offensive
ML_OLI_109,Not_offensive
ML_OLI_110,Not_offensive
ML_OLI_111,Not_offensive
ML_OLI_112,Not_offensive
ML_OLI_113,Not_offensive
ML_OLI_114,Not_offensive
ML_OLI_115,Not_offensive
ML_OLI_116,Not_offensive
ML_OLI_117,Not_offensive
ML_OLI_118,Not_offensive
ML_OLI_119,Not_offensive
ML_OLI_120,Not_offensive
ML_OLI_121,Not_offensive
ML_OLI_122,Not_offensive
ML_OLI_123,Not_offensive
ML_OLI_124,Not_offensive
ML_OLI_125,Offensive_Untargetede
ML_OLI_126,Not_offensive
ML_OLI_127,Not_offensive
ML_OLI_128,Not_offensive
ML_OLI_129,Not_offensive
ML_OLI_130,Not_offensive
ML_OLI_131,Not_offensive
ML_OLI_132,Not_offensive
ML_OLI_133,Not_offensive
ML_OLI_134,Not_offensive
ML_OLI_135,Not_offensive
ML_OLI_136,Not_offensive
ML_OLI_137,Not_offensive
ML_OLI_138,Not_offensive
ML_OLI_139,Not_offensive
ML_OLI_140,not-malayalam
ML_OLI_141,Not_offensive
ML_OLI_142,Not_offensive
ML_OLI_143,Not_offensive
ML_OLI_144,Not_offensive
ML_OLI_145,Not_offensive
ML_OLI_146,Not_offensive
ML_OLI_147,Not_offensive
ML_OLI_148,Not_offensive
ML_OLI_149,Not_offensive
ML_OLI_150,Not_offensive
ML_OLI_151,Not_offensive
ML_OLI_152,Not_offensive
ML_OLI_153,Not_offensive
ML_OLI_154,Not_offensive
ML_OLI_155,Not_offensive
ML_OLI_156,Not_offensive
ML_OLI_157,Offensive_Untargetede
ML_OLI_158,Not_offensive
ML_OLI_159,Not_offensive
ML_OLI_160,Not_offensive
ML_OLI_161,Not_offensive
ML_OLI_162,Not_offensive
ML_OLI_163,Not_offensive
ML_OLI_164,Not_offensive
ML_OLI_165,Not_offensive
ML_OLI_166,Not_offensive
ML_OLI_167,not-malayalam
ML_OLI_168,Not_offensive
ML_OLI_169,Not_offensive
ML_OLI_170,Not_offensive
ML_OLI_171,Not_offensive
ML_OLI_172,Not_offensive
ML_OLI_173,Not_offensive
ML_OLI_174,Not_offensive
ML_OLI_175,not-malayalam
ML_OLI_176,Offensive_Untargetede
ML_OLI_177,Not_offensive
ML_OLI_178,Not_offensive
ML_OLI_179,Not_offensive
ML_OLI_180,Not_offensive
ML_OLI_181,Not_offensive
ML_OLI_182,Not_offensive
ML_OLI_183,Not_offensive
ML_OLI_184,Not_offensive
ML_OLI_185,Not_offensive
ML_OLI_186,Not_offensive
ML_OLI_187,Not_offensive
ML_OLI_188,Not_offensive
ML_OLI_189,Not_offensive
ML_OLI_190,Not_offensive
ML_OLI_191,Not_offensive
ML_OLI_192,Not_offensive
ML_OLI_193,Not_offensive
ML_OLI_194,Not_offensive
ML_OLI_195,Not_offensive
ML_OLI_196,Not_offensive
ML_OLI_197,Not_offensive
ML_OLI_198,not-malayalam
ML_OLI_199,Not_offensive
ML_OLI_200,Offensive_Targeted_Insult_Individual
ML_OLI_201,Not_offensive
ML_OLI_202,Not_offensive
ML_OLI_203,Not_offensive
ML_OLI_204,Not_offensive
ML_OLI_205,Not_offensive
ML_OLI_206,Not_offensive
ML_OLI_207,Not_offensive
ML_OLI_208,Not_offensive
ML_OLI_209,not-malayalam
ML_OLI_210,Not_offensive
ML_OLI_211,Not_offensive
ML_OLI_212,Not_offensive
ML_OLI_213,Not_offensive
ML_OLI_214,Not_offensive
ML_OLI_215,Not_offensive
ML_OLI_216,Not_offensive
ML_OLI_217,not-malayalam
ML_OLI_218,Not_offensive
ML_OLI_219,Not_offensive
ML_OLI_220,Not_offensive
ML_OLI_221,Not_offensive
ML_OLI_222,Not_offensive
ML_OLI_223,Not_offensive
ML_OLI_224,Not_offensive
ML_OLI_225,Not_offensive
ML_OLI_226,Not_offensive
ML_OLI_227,Not_offensive
ML_OLI_228,Not_offensive
ML_OLI_229,Not_offensive
ML_OLI_230,Not_offensive
ML_OLI_231,Not_offensive
ML_OLI_232,Not_offensive
ML_OLI_233,Not_offensive
ML_OLI_234,Not_offensive
ML_OLI_235,Not_offensive
ML_OLI_236,Not_offensive
ML_OLI_237,Not_offensive
ML_OLI_238,Not_offensive
ML_OLI_239,Not_offensive
ML_OLI_240,Not_offensive
ML_OLI_241,not-malayalam
ML_OLI_242,Not_offensive
ML_OLI_243,Not_offensive
ML_OLI_244,Not_offensive
ML_OLI_245,Not_offensive
ML_OLI_246,Not_offensive
ML_OLI_247,Not_offensive
ML_OLI_248,Not_offensive
ML_OLI_249,Not_offensive
ML_OLI_250,Not_offensive
ML_OLI_251,Not_offensive
ML_OLI_252,Not_offensive
ML_OLI_253,Not_offensive
ML_OLI_254,Not_offensive
ML_OLI_255,Not_offensive
ML_OLI_256,Not_offensive
ML_OLI_257,Not_offensive
ML_OLI_258,Not_offensive
ML_OLI_259,Not_offensive
ML_OLI_260,not-malayalam
ML_OLI_261,Not_offensive
ML_OLI_262,Not_offensive
ML_OLI_263,Not_offensive
ML_OLI_264,Not_offensive
ML_OLI_265,Not_offensive
ML_OLI_266,Not_offensive
ML_OLI_267,Not_offensive
ML_OLI_268,Not_offensive
ML_OLI_269,Not_offensive
ML_OLI_270,Not_offensive
ML_OLI_271,Not_offensive
ML_OLI_272,Not_offensive
ML_OLI_273,Not_offensive
ML_OLI_274,Not_offensive
ML_OLI_275,Not_offensive
ML_OLI_276,Not_offensive
ML_OLI_277,Not_offensive
ML_OLI_278,Not_offensive
ML_OLI_279,Not_offensive
ML_OLI_280,Not_offensive
ML_OLI_281,Not_offensive
ML_OLI_282,Not_offensive
ML_OLI_283,Offensive_Untargetede
ML_OLI_284,Not_offensive
ML_OLI_285,Not_offensive
ML_OLI_286,Not_offensive
ML_OLI_287,Not_offensive
ML_OLI_288,Not_offensive
ML_OLI_289,Not_offensive
ML_OLI_290,Not_offensive
ML_OLI_291,Not_offensive
ML_OLI_292,Not_offensive
ML_OLI_293,Not_offensive
ML_OLI_294,Not_offensive
ML_OLI_295,Not_offensive
ML_OLI_296,Not_offensive
ML_OLI_297,Not_offensive
ML_OLI_298,Not_offensive
ML_OLI_299,Not_offensive
ML_OLI_300,Not_offensive
ML_OLI_301,Not_offensive
ML_OLI_302,Not_offensive
ML_OLI_303,Not_offensive
ML_OLI_304,not-malayalam
ML_OLI_305,Not_offensive
ML_OLI_306,Not_offensive
ML_OLI_307,Not_offensive
ML_OLI_308,Not_offensive
ML_OLI_309,Not_offensive
ML_OLI_310,Not_offensive
ML_OLI_311,Not_offensive
ML_OLI_312,Not_offensive
ML_OLI_313,Not_offensive
ML_OLI_314,Offensive_Targeted_Insult_Individual
ML_OLI_315,Not_offensive
ML_OLI_316,Not_offensive
ML_OLI_317,Not_offensive
ML_OLI_318,Not_offensive
ML_OLI_319,Not_offensive
ML_OLI_320,Not_offensive
ML_OLI_321,not-malayalam
ML_OLI_322,Not_offensive
ML_OLI_323,Not_offensive
ML_OLI_324,Not_offensive
ML_OLI_325,not-malayalam
ML_OLI_326,Not_offensive
ML_OLI_327,Not_offensive
ML_OLI_328,Not_offensive
ML_OLI_329,Not_offensive
ML_OLI_330,Not_offensive
ML_OLI_331,Not_offensive
ML_OLI_332,Not_offensive
ML_OLI_333,Not_offensive
ML_OLI_334,Not_offensive
ML_OLI_335,Not_offensive
ML_OLI_336,Not_offensive
ML_OLI_337,Not_offensive
ML_OLI_338,Not_offensive
ML_OLI_339,Offensive_Targeted_Insult_Individual
ML_OLI_340,Not_offensive
ML_OLI_341,not-malayalam
ML_OLI_342,Not_offensive
ML_OLI_343,not-malayalam
ML_OLI_344,Offensive_Targeted_Insult_Group
ML_OLI_345,Not_offensive
ML_OLI_346,Not_offensive
ML_OLI_347,Not_offensive
ML_OLI_348,Not_offensive
ML_OLI_349,Not_offensive
ML_OLI_350,Not_offensive
ML_OLI_351,Not_offensive
ML_OLI_352,Not_offensive
ML_OLI_353,Not_offensive
ML_OLI_354,Not_offensive
ML_OLI_355,Not_offensive
ML_OLI_356,Not_offensive
ML_OLI_357,Not_offensive
ML_OLI_358,Not_offensive
ML_OLI_359,Not_offensive
ML_OLI_360,Not_offensive
ML_OLI_361,Not_offensive
ML_OLI_362,Not_offensive
ML_OLI_363,Not_offensive
ML_OLI_364,Not_offensive
ML_OLI_365,Not_offensive
ML_OLI_366,Not_offensive
ML_OLI_367,Not_offensive
ML_OLI_368,Not_offensive
ML_OLI_369,Not_offensive
ML_OLI_370,Not_offensive
ML_OLI_371,Not_offensive
ML_OLI_372,Not_offensive
ML_OLI_373,Not_offensive
ML_OLI_374,Not_offensive
ML_OLI_375,Not_offensive
ML_OLI_376,not-malayalam
