Text,Label
Onji drama panda comedy mathra uppodu aven buded enchina undu onji Mana mariyadi ijja tthu,not offensive
Nama yeth parndala Steady Ulla,not offensive
Nayi sulemagne😂 Ee dialogue band South canara dalli helu obba appange huttidre😂,offensive targeted
enchi savuda film ye daravahi rd la kade .😂😂😂😂,not offensive
Sonu nigam da Shreya ghoshal background g panka..,offensive untargeted
Satya epogla maajuji. Onje onji dina tojid barpundu.   piraku kaaloDdinchi ittina namma Tulunadu. Bharata tannalme tiki bokka namma tulunadu da raddu baaga maltu Kerala boka Karnatakogu paTTiyeru. namanu sarkara dala sudartiji. Namma tanna balotu badukudu balatini. #SaveTulunadu,not offensive
"@@gauthamkshatriya2953 I am not breaking anything, I just fighting for united Tulunad you ka_kl broke us, being our culture, language go extinct, if Tulu state form it&#39;s normal it&#39;s same as how karnataka, Kerala form in 1956, That&#39;s it. We have talent, we know how to develop our region, don&#39;t need to research I know everything, do you know there are kannadigas working in every government job in the tulu region. Nothing will happen there if Tulu state forms there are many small states, we have everything in our region don&#39;t try to scare us nobody will.  Once again I am saying I am not breaking I am uniting",not tulu
Dada bayid battineye beeja na,not offensive
"Mr. Mukti media janaru kelella , nimanta thulaki media davaru beeja hakodu, Tulu janaru bere nagara da janaru Tara alla swamy😡😡😡😡😡",not tulu
Jai Tulunad 🚩🚩🚩 Tulunad Rajya.... embe yer ya lat pot... youtuber 😂😂😂,not offensive
Tulu baarandinaaye judge dada malpve,not offensive
"​@@user-frgggghgfddgOv parts Gujiridana, ovla thikkandh, bodanda nik bodayina janaklen lethondh kashmira Pakistan gadi talpa nadut unthu dib dib gundu ninna thigaleg burnaga gothapund",offensive targeted
"Bolar sir and Walter sir <br>No words ,superb timings and <br>And original ,can taste  the kudla from mumbai",not tulu
I think they want to make Mangalore separate country 😂,not tulu
Super nice song<br>Ee song tunaga bulipere barpundu.,not offensive
ಕಾಪಿಕಾಡ್ ಸರ್ ಎಡ್ಡೆ ನಟನೆ 😂😂,not offensive
Over acting  bole kann,not offensive
ಕನ್ನಡ ಬೆಳಿಸ್ರು,not tulu
Dakshina Kannada anta ittirodu enu shoki ga matte.,not tulu
ಮಸ್ತು comedy😂🤣😂😂😂😂,not offensive
bka @the power house naklna ne vedio or vlog eponi mare dada avste anna erna,not offensive
"Onduvare jille li Tulu extinct, ivaga adu  byarinadu. Jai byarinadu 😂😂😂",not tulu
roopesh ninna baari over andya,not offensive
Savda comedy kapikad,offensive targeted
"shivanna, Vijayanna,naklena judgement super.majabharathadla eeth edde judgement ijji.",not offensive
"As a kannadiga i say, please dont impose kannada to tuluvas, kodavas. Because this will harm our karnataka&#39;s diversity will get spoiled.",not tulu
"We kannadigas and Tuluvas are one mother children, why to fight? Let&#39;s love live peacefully ❤️❤️",not tulu
Bro.. Yenchi sau,offensive targeted
Ancha Pandh Policedakulu FIR Malthdh Show n Unthayera!!??,not offensive
Modina at malla desha drohi yerla ijji,not offensive
ಎಂಚಿ ಪೊಣ್ಣು ಎಂಚಿ ಅಣು 😂😂😂😂😂😂😂😂😂😂😂,not offensive
Aglotugu pura pothu kentharatha  😂 yenkle Tulu rajya body bro yenklenave ruls avodu🚩,not offensive
"This is pundiya,  vol ulla derpiya 😂😂😂😂",not offensive
Kannadigas in karnataka are not unnited...shame on us,not tulu
Nam kade e tar gollaru matadtare maryaaaaaa😅😅😅😅,not tulu
Walter Sir excellent acting😂💕,not tulu
Nimman Thullu... Punk,offensive untargeted
Great acting Krishna deverna,not offensive
short f Bit,not tulu
"""News climax epala super....😂😂♥️♥️♥️",not offensive
"Artha madkolra 2nd kongra , kannada 1",not tulu
Pukuli... morning etunda Erna,offensive untargeted
#Santhu kennege like korye👍👍👍👍👍👍👍👍👍👍👍👍👍,not offensive
ಯಕ್ಷಗಾನ ಪ್ರಸಾರಕೇ ಧನ್ಯವಾದಗಳು,not tulu
Mooji kasadaya nina ammerd kennla pukuli ge bvc,offensive untargeted
First urda kamukanklen kerle bokka gattad bagge patherle Bvc let,offensive untargeted
Marle padya depume. Ninna pukuli maya anda halcutt change malpiya line,offensive targeted
"marks korpinakale poora marl...""",not offensive
aravind sir and walter sir supper jodi nimdu nimma jodi yavaglu hige irli,not offensive
Systm sma iji Stya marre eductn,offensive targeted
​@@rajendra_kundapurabai d panodaate ninna bijapurada buddi n alpane deevon 😂,not offensive
@@SukeshTuluve ಬ್ರದರ್ ನೀವು ಈ ರೀತಿಯಲ್ಲಿ ತಿಳಿದುಕೊಂಡಿದ್ದೀರಿ ಆದರೆ ವಾತ್ಸವ ವಿಷಯ ನಮ್ಮ ಕೊಡವ  ಭಾಷೆಯನ್ನ ಕೊಲ್ಲುತ್ತಿರುವುದು ಕನ್ನಡ ಭಾಷೆಯಲ್ಲ ಇಂಗ್ಲೀಷ್ ಭಾಷೆ,not tulu
"""appe teacher ath.......ninna amme teacher🤣🤣🤣...",not offensive
Moorti chikkadadaru keerti malla undu,not offensive
ಬಾಯಿ ಮಲ್ಲ ಗೋಂಕುರ್ ಕಪ್ಪೆದ ಲೆಕ್ಕ ಉಂಡು😜,not offensive
Yer  e parabbi,offensive untargeted
Undu enkan hosabettu beach,not offensive
Bhai aa allu arjun na song lakaii nett annd Sav da,offensive targeted
Next episode kambla da malpule 😍,not offensive
Katta🤣🤣 Tigalda,offensive untargeted
ನನ್ ಏನೋ ಅನ್ಕೊಂಡಿದ್ದೆ ಮಸ್ತ್ Acting ಮಾಡಿದಿರೋ ಮಚ್ಚಾಸ್ 😍😍,not tulu
Nanala bahubali n  kertinaye      tikdijena comedy,not offensive
State bvc. First ninan mulpardh Pakistan gidapod nattunaya. @@user-frgggghgfddg Ninna Amma kunne bethe,offensive targeted
Most irritating... Whenever I see this stupid immediately I will scroll to next 🤮,not offensive
Arjun kapikadna mata moviela upload malule please ❤,not offensive
yapala vekas panodetha ethe dane driver panpa  ancha panada masth bajarapundu kenare😮😮😮,not offensive
Pottu panda baji pottu show nikalna karma,not offensive
